"","age","female","voted","racename","democrat","HispanOld"
"1",19,1,1,"African American",0,FALSE
"2",58,1,1,"African American",1,FALSE
"3",29,0,0,"African American",1,FALSE
"4",59,1,1,"African American",1,FALSE
"5",35,1,1,"African American",1,FALSE
"6",51,1,1,"African American",1,FALSE
"7",72,1,1,"African American",0,FALSE
"8",63,1,1,"African American",1,FALSE
"9",65,0,NA,"African American",0,FALSE
"10",51,1,1,"Caucasian",0,FALSE
"11",18,0,0,"Hispanic",0,FALSE
"12",26,1,1,"African American",1,FALSE
"13",45,1,0,"Hispanic",1,FALSE
"14",18,1,0,"Hispanic",1,FALSE
"15",62,1,1,"African American",1,FALSE
"16",20,0,1,"African American",1,FALSE
"17",51,1,1,"African American",1,FALSE
"18",41,1,1,"Caucasian",0,FALSE
"19",41,0,1,"Hispanic",0,FALSE
"20",39,0,1,"African American",1,FALSE
"21",68,1,1,"Caucasian",1,FALSE
"22",72,0,1,"African American",1,FALSE
"23",37,0,1,"Caucasian",0,FALSE
"24",17,1,0,"African American",1,FALSE
"25",51,1,1,"Caucasian",0,FALSE
"26",56,1,1,"African American",1,FALSE
"27",26,0,1,"African American",1,FALSE
"28",69,1,1,"African American",1,FALSE
"29",68,0,1,"African American",1,FALSE
"30",55,0,NA,"African American",1,FALSE
"31",34,1,0,"African American",1,FALSE
"32",37,1,1,"Hispanic",1,FALSE
"33",40,1,1,"African American",1,FALSE
"34",30,1,1,"African American",1,FALSE
"35",70,0,1,"African American",1,FALSE
"36",53,1,1,"African American",1,FALSE
"37",44,1,1,"African American",1,FALSE
"38",36,1,1,"African American",1,FALSE
"39",61,1,1,"African American",1,FALSE
"40",68,0,1,"African American",1,FALSE
"41",31,1,1,"African American",0,FALSE
"42",52,1,1,"African American",1,FALSE
"43",46,1,0,"African American",0,FALSE
"44",37,1,0,"African American",1,FALSE
"45",66,1,0,"African American",0,FALSE
"46",35,1,NA,"Caucasian",0,FALSE
"47",76,0,1,"Hispanic",0,TRUE
"48",26,1,0,"Hispanic",0,FALSE
"49",21,1,0,"African American",1,FALSE
"50",24,0,0,"African American",1,FALSE
"51",69,1,1,"African American",1,FALSE
"52",79,0,1,"Caucasian",0,FALSE
"53",58,0,1,"African American",1,FALSE
"54",31,0,NA,"African American",0,FALSE
"55",27,1,1,"African American",1,FALSE
"56",46,0,0,"African American",1,FALSE
"57",51,1,0,"Hispanic",1,FALSE
"58",83,1,1,"Hispanic",0,TRUE
"59",53,1,0,"Caucasian",0,FALSE
"60",48,0,1,"Hispanic",0,FALSE
"61",30,1,1,"Hispanic",0,FALSE
"62",19,1,1,"Caucasian",0,FALSE
"63",66,1,1,"Hispanic",1,TRUE
"64",54,1,0,"Hispanic",0,FALSE
"65",35,1,0,"African American",0,FALSE
"66",64,1,1,"African American",1,FALSE
"67",57,1,1,"Caucasian",1,FALSE
"68",31,0,0,"African American",1,FALSE
"69",70,0,NA,"African American",1,FALSE
"70",39,1,0,"African American",1,FALSE
"71",61,0,1,"Hispanic",0,TRUE
"72",46,1,1,"African American",1,FALSE
"73",57,1,0,"African American",1,FALSE
"74",82,1,1,"Hispanic",1,TRUE
"75",72,1,1,"African American",1,FALSE
"76",75,0,1,"African American",1,FALSE
"77",73,1,1,"African American",1,FALSE
"78",48,1,1,"Hispanic",1,FALSE
"79",50,1,1,"African American",1,FALSE
"80",58,1,0,"African American",1,FALSE
"81",21,1,0,"Hispanic",0,FALSE
"82",23,1,0,"Caucasian",0,FALSE
"83",40,1,0,"Caucasian",0,FALSE
"84",68,1,0,"Caucasian",0,FALSE
"85",22,1,NA,"African American",1,FALSE
"86",63,1,1,"African American",0,FALSE
"87",19,1,0,"African American",1,FALSE
"88",45,1,0,"Hispanic",0,FALSE
"89",28,1,0,"African American",0,FALSE
"90",25,0,1,"Hispanic",0,FALSE
"91",26,1,1,"Hispanic",0,FALSE
"92",58,1,1,"African American",1,FALSE
"93",22,0,1,"African American",0,FALSE
"94",18,1,0,"African American",1,FALSE
"95",31,0,0,"Hispanic",0,FALSE
"96",17,0,0,"Hispanic",0,FALSE
"97",40,0,1,"Hispanic",1,FALSE
"98",88,1,0,"Hispanic",1,TRUE
"99",53,1,0,"Hispanic",0,FALSE
"100",23,0,1,"Hispanic",0,FALSE
"101",58,1,1,"Caucasian",1,FALSE
"102",34,1,1,"Hispanic",1,FALSE
"103",25,1,NA,"African American",1,FALSE
"104",23,NA,0,"African American",1,FALSE
"105",40,1,1,"African American",1,FALSE
"106",41,1,1,"African American",1,FALSE
"107",29,0,0,"African American",0,FALSE
"108",19,1,1,"African American",0,FALSE
"109",31,1,0,"Hispanic",0,FALSE
"110",22,1,0,"Hispanic",0,FALSE
"111",57,1,0,"Hispanic",0,FALSE
"112",58,0,NA,"Hispanic",0,FALSE
"113",58,1,1,"Caucasian",0,FALSE
"114",57,0,1,"Caucasian",0,FALSE
"115",31,1,0,"African American",1,FALSE
"116",56,1,1,"Hispanic",0,FALSE
"117",65,0,0,"African American",1,FALSE
"118",45,0,1,"African American",0,FALSE
"119",65,1,1,"African American",0,FALSE
"120",55,1,1,"Caucasian",1,FALSE
"121",22,1,0,"African American",1,FALSE
"122",74,0,1,"African American",1,FALSE
"123",33,1,0,"African American",0,FALSE
"124",17,1,NA,"African American",1,FALSE
"125",48,NA,1,"African American",0,FALSE
"126",81,1,1,"African American",1,FALSE
"127",46,1,1,"African American",0,FALSE
"128",42,0,0,"African American",1,FALSE
"129",19,0,0,"Hispanic",0,FALSE
"130",66,1,1,"African American",1,FALSE
"131",49,0,1,"Caucasian",0,FALSE
"132",53,0,0,"Caucasian",0,FALSE
"133",51,1,0,"African American",0,FALSE
"134",23,0,0,"African American",1,FALSE
"135",48,1,0,"African American",1,FALSE
"136",76,0,1,"African American",1,FALSE
"137",85,1,1,"Caucasian",0,FALSE
"138",24,0,0,"Hispanic",1,FALSE
"139",54,0,NA,"African American",1,FALSE
"140",81,1,1,"African American",0,FALSE
"141",62,1,1,"African American",1,FALSE
"142",42,0,1,"Caucasian",0,FALSE
"143",43,1,1,"Hispanic",0,FALSE
"144",84,0,1,"Hispanic",0,TRUE
"145",57,1,1,"African American",1,FALSE
"146",57,1,1,"Caucasian",0,FALSE
"147",41,1,NA,"African American",0,FALSE
"148",19,1,0,"African American",0,FALSE
"149",31,0,1,"African American",1,FALSE
"150",38,1,0,"Hispanic",0,FALSE
"151",63,1,1,"African American",1,FALSE
"152",23,0,1,"African American",1,FALSE
"153",69,1,1,"African American",1,FALSE
"154",47,1,1,"African American",1,FALSE
"155",20,NA,0,"Hispanic",1,FALSE
"156",46,1,0,"African American",0,FALSE
"157",55,1,0,"African American",1,FALSE
"158",41,1,0,"Hispanic",1,FALSE
"159",27,0,0,"African American",0,FALSE
"160",24,1,0,"African American",1,FALSE
"161",47,1,1,"African American",1,FALSE
"162",70,0,NA,"Hispanic",1,TRUE
"163",57,1,1,"Caucasian",0,FALSE
"164",58,1,1,"African American",1,FALSE
"165",45,1,0,"African American",1,FALSE
"166",58,0,1,"African American",1,FALSE
"167",41,1,1,"Caucasian",0,FALSE
"168",36,0,0,"Caucasian",0,FALSE
"169",42,1,1,"African American",1,FALSE
"170",61,1,1,"African American",1,FALSE
"171",34,NA,1,"African American",1,FALSE
"172",22,0,1,"African American",1,FALSE
"173",43,0,0,"African American",0,FALSE
"174",55,1,1,"African American",1,FALSE
"175",61,1,NA,"African American",1,FALSE
"176",69,0,1,"Caucasian",1,FALSE
"177",49,1,1,"African American",1,FALSE
"178",31,1,0,"African American",1,FALSE
"179",50,1,1,"African American",1,FALSE
"180",18,0,0,"African American",1,FALSE
"181",43,0,1,"Hispanic",0,FALSE
"182",36,1,1,"African American",1,FALSE
"183",50,1,1,"Caucasian",1,FALSE
"184",49,1,1,"Hispanic",1,FALSE
"185",44,1,1,"African American",1,FALSE
"186",34,1,1,"African American",1,FALSE
"187",53,1,NA,"African American",1,FALSE
"188",50,0,1,"Caucasian",1,FALSE
"189",59,0,1,"Caucasian",0,FALSE
"190",56,1,1,"Caucasian",1,FALSE
"191",55,0,1,"African American",1,FALSE
"192",27,1,0,"Caucasian",1,FALSE
"193",38,0,1,"African American",0,FALSE
"194",38,1,1,"Hispanic",0,FALSE
"195",43,1,1,"African American",1,FALSE
"196",44,0,1,"African American",1,FALSE
"197",26,1,0,"African American",1,FALSE
"198",53,1,1,"African American",1,FALSE
"199",55,1,NA,"African American",1,FALSE
"200",23,0,1,"African American",1,FALSE
"201",25,1,1,"African American",1,FALSE
"202",40,1,1,"African American",1,FALSE
"203",26,1,1,"African American",1,FALSE
"204",58,1,1,"African American",1,FALSE
"205",37,1,1,"African American",1,FALSE
"206",19,1,0,"African American",1,FALSE
"207",77,1,1,"African American",1,FALSE
"208",62,0,1,"African American",1,FALSE
"209",75,1,1,"African American",1,FALSE
"210",56,1,1,"African American",1,FALSE
"211",57,NA,1,"African American",1,FALSE
"212",26,0,0,"African American",1,FALSE
"213",21,0,0,"African American",1,FALSE
"214",30,0,0,"African American",1,FALSE
"215",68,0,1,"Caucasian",0,FALSE
"216",51,1,1,"African American",1,FALSE
"217",75,1,1,"African American",1,FALSE
"218",18,1,0,"African American",1,FALSE
"219",42,1,0,"Hispanic",1,FALSE
"220",22,1,0,"Hispanic",0,FALSE
"221",45,1,0,"African American",1,FALSE
"222",22,1,1,"African American",1,FALSE
"223",72,0,1,"African American",1,FALSE
"224",60,1,1,"African American",1,FALSE
"225",52,1,1,"African American",1,FALSE
"226",61,0,0,"African American",1,FALSE
"227",66,1,1,"African American",1,FALSE
"228",23,1,0,"Hispanic",0,FALSE
"229",49,0,1,"Hispanic",0,FALSE
"230",51,1,0,"Hispanic",0,FALSE
"231",22,0,1,"African American",1,FALSE
"232",60,1,1,"African American",1,FALSE
"233",39,1,0,"African American",1,FALSE
"234",24,1,1,"African American",1,FALSE
"235",21,0,0,"African American",1,FALSE
"236",68,0,1,"Hispanic",0,TRUE
"237",68,1,0,"Hispanic",1,TRUE
"238",66,1,1,"Caucasian",1,FALSE
"239",19,1,1,"African American",0,FALSE
"240",32,1,0,"Hispanic",1,FALSE
"241",32,0,0,"Caucasian",1,FALSE
"242",68,1,1,"Caucasian",1,FALSE
"243",88,1,1,"Caucasian",1,FALSE
"244",62,0,1,"African American",1,FALSE
"245",32,0,0,"African American",1,FALSE
"246",68,1,1,"Hispanic",1,TRUE
"247",59,0,1,"Caucasian",1,FALSE
"248",56,1,1,"Caucasian",1,FALSE
"249",81,0,1,"African American",1,FALSE
"250",24,1,0,"African American",1,FALSE
"251",66,1,1,"African American",1,FALSE
"252",47,1,0,"African American",1,FALSE
"253",46,1,0,"African American",1,FALSE
"254",24,0,0,"African American",0,FALSE
"255",30,0,0,"African American",1,FALSE
"256",75,1,0,"Hispanic",1,TRUE
"257",44,1,1,"African American",1,FALSE
"258",46,0,0,"African American",1,FALSE
"259",23,1,0,"African American",1,FALSE
"260",60,1,1,"Hispanic",0,TRUE
"261",67,0,1,"Caucasian",1,FALSE
"262",62,0,1,"Caucasian",1,FALSE
"263",61,1,1,"Caucasian",1,FALSE
"264",27,0,1,"Caucasian",1,FALSE
"265",61,0,1,"Hispanic",1,TRUE
"266",27,1,0,"Hispanic",1,FALSE
"267",51,1,1,"African American",1,FALSE
"268",19,0,0,"Hispanic",0,FALSE
"269",43,1,0,"Hispanic",0,FALSE
"270",45,0,0,"Hispanic",0,FALSE
"271",51,1,1,"African American",1,FALSE
"272",31,0,0,"African American",1,FALSE
"273",30,0,0,"African American",1,FALSE
"274",50,0,1,"Caucasian",1,FALSE
"275",33,0,1,"Caucasian",0,FALSE
"276",19,0,0,"Hispanic",0,FALSE
"277",28,0,0,"African American",1,FALSE
"278",56,1,0,"African American",1,FALSE
"279",39,1,0,"African American",1,FALSE
"280",60,1,1,"Hispanic",0,TRUE
"281",36,1,0,"African American",1,FALSE
"282",25,1,1,"African American",1,FALSE
"283",30,0,0,"Hispanic",0,FALSE
"284",25,0,0,"Hispanic",0,FALSE
"285",25,0,0,"African American",1,FALSE
"286",41,0,1,"African American",1,FALSE
"287",18,0,0,"Hispanic",0,FALSE
"288",64,1,0,"Hispanic",1,TRUE
"289",54,1,1,"Caucasian",1,FALSE
"290",58,1,1,"African American",1,FALSE
"291",30,0,0,"Hispanic",0,FALSE
"292",28,1,1,"Caucasian",0,FALSE
"293",28,1,0,"African American",1,FALSE
"294",54,1,1,"Hispanic",1,FALSE
"295",51,0,0,"Hispanic",1,FALSE
"296",37,1,0,"Caucasian",0,FALSE
"297",62,0,1,"Hispanic",1,TRUE
"298",51,1,0,"Hispanic",1,FALSE
"299",42,1,1,"African American",1,FALSE
"300",51,0,1,"African American",1,FALSE
"301",37,1,1,"Hispanic",0,FALSE
"302",87,1,1,"Caucasian",1,FALSE
"303",54,0,1,"Hispanic",1,FALSE
"304",43,0,0,"African American",0,FALSE
"305",45,1,0,"African American",1,FALSE
"306",60,1,1,"Caucasian",1,FALSE
"307",64,0,1,"Caucasian",0,FALSE
"308",40,1,0,"African American",1,FALSE
"309",63,1,0,"Hispanic",0,TRUE
"310",62,0,1,"African American",1,FALSE
"311",61,1,1,"Caucasian",1,FALSE
"312",57,0,0,"Caucasian",0,FALSE
"313",61,1,1,"Caucasian",1,FALSE
"314",53,1,1,"African American",1,FALSE
"315",72,0,1,"Hispanic",1,TRUE
"316",63,0,0,"Hispanic",0,TRUE
"317",57,0,1,"Hispanic",0,FALSE
"318",32,1,0,"Hispanic",0,FALSE
"319",65,1,1,"African American",1,FALSE
"320",49,0,1,"Hispanic",0,FALSE
"321",55,0,1,"Hispanic",0,FALSE
"322",58,0,1,"Caucasian",1,FALSE
"323",67,0,1,"Caucasian",0,FALSE
"324",54,1,1,"Caucasian",0,FALSE
"325",52,1,1,"African American",1,FALSE
"326",34,0,0,"African American",0,FALSE
"327",22,1,0,"African American",0,FALSE
"328",44,0,1,"African American",0,FALSE
"329",71,1,1,"Hispanic",1,TRUE
"330",74,0,1,"Hispanic",1,TRUE
"331",38,0,1,"Hispanic",0,FALSE
"332",64,1,1,"Caucasian",1,FALSE
"333",24,1,0,"African American",1,FALSE
"334",46,1,1,"African American",1,FALSE
"335",51,0,1,"African American",1,FALSE
"336",76,1,1,"Caucasian",1,FALSE
"337",74,0,1,"Caucasian",0,FALSE
"338",71,1,1,"Hispanic",0,TRUE
"339",56,1,1,"African American",1,FALSE
"340",25,1,0,"Hispanic",0,FALSE
"341",45,0,0,"Hispanic",1,FALSE
"342",55,1,0,"Hispanic",1,FALSE
"343",52,1,0,"Hispanic",0,FALSE
"344",20,1,0,"Hispanic",0,FALSE
"345",20,1,0,"Hispanic",0,FALSE
"346",64,1,0,"Hispanic",0,TRUE
"347",59,1,1,"Caucasian",0,FALSE
"348",34,0,1,"African American",0,FALSE
"349",73,0,1,"African American",1,FALSE
"350",64,1,1,"African American",1,FALSE
"351",90,0,0,"Hispanic",1,TRUE
"352",27,1,1,"Caucasian",1,FALSE
"353",57,0,1,"Hispanic",0,FALSE
"354",56,0,1,"Hispanic",0,FALSE
"355",71,0,0,"Hispanic",1,TRUE
"356",66,1,0,"Hispanic",0,TRUE
"357",69,0,1,"Hispanic",1,TRUE
"358",18,0,0,"Hispanic",1,FALSE
"359",18,1,1,"Hispanic",0,FALSE
"360",20,0,0,"Hispanic",1,FALSE
"361",65,1,1,"Hispanic",1,TRUE
"362",46,1,0,"Hispanic",0,FALSE
"363",41,0,0,"Hispanic",1,FALSE
"364",21,1,0,"Hispanic",0,FALSE
"365",47,0,1,"African American",1,FALSE
"366",53,1,0,"Hispanic",1,FALSE
"367",60,0,0,"Hispanic",1,TRUE
"368",19,1,0,"Hispanic",1,FALSE
"369",34,0,1,"Caucasian",0,FALSE
"370",36,1,1,"Caucasian",0,FALSE
"371",29,1,0,"Hispanic",0,FALSE
"372",51,0,1,"Hispanic",0,FALSE
"373",50,1,1,"Hispanic",0,FALSE
"374",87,1,0,"Hispanic",0,TRUE
"375",47,1,1,"Hispanic",0,FALSE
"376",19,1,0,"Hispanic",1,FALSE
"377",24,0,0,"African American",1,FALSE
"378",52,1,0,"Hispanic",1,FALSE
"379",46,0,0,"Caucasian",1,FALSE
"380",39,1,0,"Hispanic",1,FALSE
"381",65,1,1,"African American",1,FALSE
"382",42,1,0,"Hispanic",0,FALSE
"383",56,1,1,"Hispanic",0,FALSE
"384",56,0,1,"Caucasian",0,FALSE
"385",54,1,1,"Hispanic",0,FALSE
"386",30,1,1,"African American",1,FALSE
"387",20,0,1,"Hispanic",0,FALSE
"388",51,0,1,"Hispanic",0,FALSE
"389",60,0,1,"Caucasian",1,FALSE
"390",61,0,1,"Hispanic",0,TRUE
"391",58,1,1,"Hispanic",0,FALSE
"392",24,0,0,"Hispanic",0,FALSE
"393",43,0,1,"African American",1,FALSE
"394",40,1,1,"African American",0,FALSE
"395",77,0,1,"Caucasian",0,FALSE
"396",24,0,0,"African American",1,FALSE
"397",55,0,1,"Hispanic",0,FALSE
"398",40,1,1,"Caucasian",0,FALSE
"399",72,1,1,"African American",1,FALSE
"400",55,1,1,"African American",1,FALSE
"401",62,1,1,"Hispanic",0,TRUE
"402",27,1,1,"Hispanic",0,FALSE
"403",57,1,0,"Hispanic",0,FALSE
"404",63,1,1,"Hispanic",0,TRUE
"405",26,0,0,"Hispanic",0,FALSE
"406",53,1,0,"Hispanic",0,FALSE
"407",53,0,0,"Caucasian",0,FALSE
"408",43,1,1,"African American",1,FALSE
"409",71,1,0,"African American",1,FALSE
"410",27,0,0,"African American",0,FALSE
"411",30,1,1,"African American",1,FALSE
"412",63,0,1,"Caucasian",1,FALSE
"413",60,0,0,"Caucasian",1,FALSE
"414",59,0,1,"Caucasian",0,FALSE
"415",43,0,1,"Caucasian",0,FALSE
"416",80,1,1,"Caucasian",1,FALSE
"417",53,0,1,"Caucasian",1,FALSE
"418",48,1,1,"Caucasian",0,FALSE
"419",27,0,0,"African American",1,FALSE
"420",34,0,1,"African American",0,FALSE
"421",61,1,1,"African American",0,FALSE
"422",24,0,0,"African American",1,FALSE
"423",30,0,0,"African American",1,FALSE
"424",62,1,0,"African American",1,FALSE
"425",66,1,0,"African American",1,FALSE
"426",54,1,0,"Hispanic",1,FALSE
"427",59,0,1,"Hispanic",0,FALSE
"428",25,0,0,"African American",1,FALSE
"429",62,0,1,"African American",1,FALSE
"430",23,1,0,"Asian",0,FALSE
"431",23,1,0,"African American",1,FALSE
"432",44,1,0,"Hispanic",0,FALSE
"433",56,0,1,"Hispanic",1,FALSE
"434",56,1,1,"Hispanic",1,FALSE
"435",24,1,1,"Hispanic",1,FALSE
"436",35,1,1,"Hispanic",1,FALSE
"437",62,0,1,"African American",0,FALSE
"438",61,1,1,"African American",1,FALSE
"439",55,1,1,"Hispanic",0,FALSE
"440",56,1,1,"Caucasian",1,FALSE
"441",19,0,0,"Caucasian",0,FALSE
"442",47,1,1,"Hispanic",0,FALSE
"443",42,0,1,"Hispanic",0,FALSE
"444",58,1,1,"Caucasian",0,FALSE
"445",65,0,1,"Caucasian",1,FALSE
"446",50,1,0,"Hispanic",0,FALSE
"447",80,0,1,"Caucasian",1,FALSE
"448",69,1,1,"Caucasian",1,FALSE
"449",53,1,0,"Caucasian",0,FALSE
"450",56,0,1,"Caucasian",1,FALSE
"451",30,0,1,"Hispanic",0,FALSE
"452",20,0,0,"African American",1,FALSE
"453",41,1,1,"Hispanic",0,FALSE
"454",52,1,1,"Hispanic",0,FALSE
"455",44,1,1,"African American",1,FALSE
"456",18,1,1,"Hispanic",0,FALSE
"457",46,1,1,"Hispanic",1,FALSE
"458",42,1,0,"Hispanic",1,FALSE
"459",25,1,0,"Hispanic",0,FALSE
"460",49,1,1,"Caucasian",0,FALSE
"461",28,0,0,"Hispanic",1,FALSE
"462",57,1,1,"Caucasian",0,FALSE
"463",53,0,1,"Hispanic",0,FALSE
"464",24,0,0,"Hispanic",0,FALSE
"465",77,1,1,"Hispanic",0,TRUE
"466",73,0,1,"Hispanic",0,TRUE
"467",60,1,0,"Caucasian",0,FALSE
"468",21,0,0,"Asian",0,FALSE
"469",52,1,1,"Caucasian",0,FALSE
"470",61,0,0,"Caucasian",1,FALSE
"471",77,0,1,"Hispanic",0,TRUE
"472",44,0,1,"Hispanic",0,FALSE
"473",22,0,0,"Hispanic",1,FALSE
"474",53,1,1,"Hispanic",0,FALSE
"475",23,0,0,"Hispanic",0,FALSE
"476",59,1,0,"African American",1,FALSE
"477",47,0,0,"Hispanic",1,FALSE
"478",63,0,1,"Hispanic",0,TRUE
"479",52,1,1,"Hispanic",0,FALSE
"480",49,0,1,"Caucasian",0,FALSE
"481",33,1,0,"Hispanic",0,FALSE
"482",33,0,1,"Hispanic",0,FALSE
"483",59,0,1,"Hispanic",0,FALSE
"484",61,1,1,"Hispanic",0,TRUE
"485",75,0,1,"Hispanic",0,TRUE
"486",29,1,0,"Hispanic",0,FALSE
"487",52,0,1,"Caucasian",1,FALSE
"488",52,1,1,"Hispanic",1,FALSE
"489",54,1,1,"Hispanic",1,FALSE
"490",66,0,1,"Hispanic",1,TRUE
"491",42,0,1,"African American",1,FALSE
"492",37,0,0,"Hispanic",0,FALSE
"493",83,0,0,"Hispanic",0,TRUE
"494",30,1,1,"Hispanic",0,FALSE
"495",33,1,0,"Hispanic",0,FALSE
"496",77,0,1,"Caucasian",0,FALSE
"497",66,1,0,"Hispanic",0,TRUE
"498",64,0,1,"Caucasian",1,FALSE
"499",76,1,1,"Caucasian",1,FALSE
"500",55,0,0,"Hispanic",1,FALSE
"501",53,1,1,"African American",1,FALSE
"502",72,1,1,"Hispanic",1,TRUE
"503",49,1,1,"Caucasian",1,FALSE
"504",36,1,1,"Caucasian",1,FALSE
"505",62,1,1,"Caucasian",1,FALSE
"506",52,1,1,"Hispanic",1,FALSE
"507",24,1,1,"Hispanic",0,FALSE
"508",62,0,1,"Caucasian",1,FALSE
"509",41,1,0,"Caucasian",0,FALSE
"510",36,1,1,"African American",1,FALSE
"511",45,1,1,"Hispanic",0,FALSE
"512",46,0,1,"Hispanic",0,FALSE
"513",40,1,0,"Hispanic",1,FALSE
"514",66,1,1,"Caucasian",0,FALSE
"515",40,1,1,"African American",1,FALSE
"516",39,0,1,"African American",1,FALSE
"517",41,0,0,"Hispanic",0,FALSE
"518",55,1,0,"Hispanic",0,FALSE
"519",46,1,0,"Caucasian",0,FALSE
"520",24,0,1,"Hispanic",0,FALSE
"521",19,0,1,"Hispanic",0,FALSE
"522",29,0,0,"Hispanic",1,FALSE
"523",51,1,1,"Caucasian",0,FALSE
"524",55,NA,0,"African American",1,FALSE
"525",58,1,1,"African American",1,FALSE
"526",40,0,NA,"Caucasian",0,FALSE
"527",34,1,1,"Caucasian",0,FALSE
"528",19,1,0,"Hispanic",0,FALSE
"529",49,0,NA,"Hispanic",0,FALSE
"530",42,1,0,"Hispanic",0,FALSE
"531",74,NA,0,"Caucasian",1,FALSE
"532",48,1,1,"Hispanic",0,FALSE
"533",76,1,1,"Hispanic",0,TRUE
"534",64,1,1,"Hispanic",0,TRUE
"535",41,0,0,"Hispanic",0,FALSE
"536",43,1,1,"African American",1,FALSE
"537",19,1,1,"African American",1,FALSE
"538",69,NA,1,"Hispanic",1,TRUE
"539",69,1,1,"Hispanic",1,TRUE
"540",60,0,1,"Caucasian",0,FALSE
"541",60,1,1,"Hispanic",0,TRUE
"542",69,0,1,"Caucasian",1,FALSE
"543",23,1,1,"Hispanic",0,FALSE
"544",47,1,1,"Caucasian",0,FALSE
"545",53,0,1,"Hispanic",1,FALSE
"546",42,0,0,"Hispanic",1,FALSE
"547",68,1,0,"Hispanic",1,TRUE
"548",25,1,1,"Hispanic",0,FALSE
"549",69,1,0,"Caucasian",1,FALSE
"550",50,0,1,"Hispanic",0,FALSE
"551",51,0,1,"Hispanic",0,FALSE
"552",72,0,1,"Caucasian",1,FALSE
"553",59,1,0,"Caucasian",0,FALSE
"554",69,0,1,"Hispanic",0,TRUE
"555",66,1,1,"Hispanic",0,TRUE
"556",34,1,1,"Hispanic",1,FALSE
"557",69,0,1,"Caucasian",0,FALSE
"558",29,0,0,"Hispanic",0,FALSE
"559",34,1,0,"Hispanic",0,FALSE
"560",42,1,1,"Caucasian",0,FALSE
"561",64,1,1,"Caucasian",1,FALSE
"562",23,1,0,"Hispanic",0,FALSE
"563",56,0,1,"Hispanic",0,FALSE
"564",39,1,1,"Hispanic",0,FALSE
"565",47,0,1,"Hispanic",1,FALSE
"566",54,1,1,"Hispanic",0,FALSE
"567",24,1,0,"African American",1,FALSE
"568",80,1,1,"Caucasian",1,FALSE
"569",39,0,1,"Caucasian",1,FALSE
"570",38,0,1,"Caucasian",1,FALSE
"571",52,0,1,"Hispanic",1,FALSE
"572",50,1,1,"Hispanic",1,FALSE
"573",41,0,0,"Caucasian",0,FALSE
"574",38,1,1,"African American",1,FALSE
"575",43,0,1,"Caucasian",1,FALSE
"576",43,1,1,"Caucasian",1,FALSE
"577",43,1,1,"Caucasian",1,FALSE
"578",30,0,1,"Hispanic",0,FALSE
"579",28,1,1,"Hispanic",0,FALSE
"580",76,1,1,"Hispanic",0,TRUE
"581",54,1,1,"Hispanic",0,FALSE
"582",36,0,1,"Hispanic",1,FALSE
"583",54,1,1,"Hispanic",0,FALSE
"584",21,1,0,"Hispanic",0,FALSE
"585",53,1,0,"Hispanic",0,FALSE
"586",55,1,1,"Hispanic",1,FALSE
"587",61,1,1,"Caucasian",0,FALSE
"588",65,1,1,"Caucasian",1,FALSE
"589",63,1,1,"Caucasian",0,FALSE
"590",21,NA,0,"Caucasian",0,FALSE
"591",25,0,0,"African American",0,FALSE
"592",52,1,0,"African American",1,FALSE
"593",26,1,0,"African American",1,FALSE
"594",19,0,0,"African American",1,FALSE
"595",80,0,1,"Caucasian",0,FALSE
"596",37,1,1,"Hispanic",1,FALSE
"597",40,1,1,"Hispanic",1,FALSE
"598",47,1,1,"Hispanic",0,FALSE
"599",47,0,NA,"Caucasian",0,FALSE
"600",65,1,0,"Hispanic",0,TRUE
"601",26,1,1,"Hispanic",1,FALSE
"602",25,0,1,"Hispanic",0,FALSE
"603",64,NA,1,"Caucasian",0,FALSE
"604",31,1,0,"African American",1,FALSE
"605",41,1,1,"African American",0,FALSE
"606",55,1,1,"Caucasian",0,FALSE
"607",38,1,1,"African American",1,FALSE
"608",29,0,0,"African American",1,FALSE
"609",71,1,1,"Caucasian",1,FALSE
"610",23,1,1,"African American",1,FALSE
"611",63,1,1,"Caucasian",0,FALSE
"612",62,0,1,"Caucasian",1,FALSE
"613",73,1,1,"Caucasian",1,FALSE
"614",68,0,NA,"Caucasian",1,FALSE
"615",53,0,0,"African American",1,FALSE
