"country","year","lifeExp","inf_mort","gdpPercap","gdp_growth","polity","libdem"
"Afghanistan",2007,43.828,102.2,974.5803384,13.7402049898513,NA,0.227
"Albania",2007,76.423,18.6,5937.029526,5.89999999980755,9,0.44
"Algeria",2007,72.301,30.7,6223.367465,3.37287515437164,2,0.161
"Angola",2007,42.731,147.6,4797.231267,22.5930542991417,-2,0.109
"Argentina",2007,75.32,15.8,12779.37964,9.00765087504757,8,0.621
"Australia",2007,81.235,5.4,34435.36744,3.74972737014126,10,0.835
"Austria",2007,79.829,4.6,36126.4927,3.62151043328871,10,0.801
"Bahrain",2007,75.635,9.8,29796.04834,8.29244382201286,-7,0.088
"Bangladesh",2007,64.062,59.3,1391.253792,7.05863620607012,-6,0.107
"Belgium",2007,79.441,4.8,33692.60508,3.44897379169034,8,0.821
"Benin",2007,56.728,118.1,1441.284873,5.98651552196785,7,0.56
"Bolivia",2007,65.554,54.6,3822.137084,4.56428492474335,8,0.462
"Bosnia and Herzegovina",2007,74.852,8.1,7446.298803,5.7287569117034,NA,0.409
"Botswana",2007,50.728,62,12569.85177,8.27676375751889,8,0.62
"Brazil",2007,72.39,23.2,9065.800825,6.06987284607507,8,0.78
"Bulgaria",2007,73.005,11.8,10680.79282,7.67535068185595,9,0.629
"Burkina Faso",2007,52.295,139,1217.032994,5.65500511828274,0,0.384
"Burundi",2007,49.58,110.6,430.0706916,4.78583195088814,6,0.193
"Cambodia",2007,59.723,56,1713.778686,10.2125739126309,2,0.123
"Cameroon",2007,50.43,125.7,2042.09524,4.90220173244047,-4,0.162
"Canada",2007,80.653,5.9,36319.23501,2.06274769025849,10,0.762
"Central African Republic",2007,44.741,159,706.016537,4.60753485452025,-1,0.193
"Chad",2007,50.651,161.6,1704.063724,3.27149957888643,-2,0.096
"Chile",2007,78.553,9.1,13171.63885,4.90532450356156,10,0.838
"China",2007,72.961,20,4959.114854,14.231388035688,-7,0.059
"Colombia",2007,72.889,20.4,7006.580419,6.90062765541222,7,0.44
"Comoros",2007,65.152,95.9,986.1478792,0.80015279901626,9,0.333
"Congo, Dem. Rep.",2007,46.462,128.3,277.5518587,6.2594698471958,NA,NA
"Congo, Rep.",2007,55.322,76.8,3632.557798,-1.58222275043937,NA,NA
"Costa Rica",2007,78.782,10.4,9645.06142,8.16789611559992,10,0.859
"Cote d'Ivoire",2007,48.328,120.1,1544.750112,1.76503678370024,NA,NA
"Croatia",2007,75.748,6.2,14619.22272,5.1500049796031,9,0.645
