"","prejudice_trans","treat_ind","white","hispanic","black","age","female","racename","democrat"
"1",50,0,1,0,0,19,1,"black",0
"2",50,0,1,0,0,58,1,"black",1
"3",100,0,1,0,0,29,0,"black",1
"4",0,1,1,0,0,59,1,"black",1
"5",50,1,1,0,0,35,1,"black",1
"6",50,1,1,0,0,51,1,"black",1
"7",50,0,1,0,0,72,1,"black",0
"8",50,1,1,0,0,63,1,"black",1
"9",50,1,1,0,0,65,0,"black",0
"10",53,0,0,1,0,51,1,"white",0
"11",46,0,0,0,1,18,0,"hispanic",0
"12",26,0,1,0,0,26,1,"black",1
"13",0,0,0,0,1,45,1,"hispanic",1
"14",0,0,0,0,1,18,1,"hispanic",1
"15",24,1,1,0,0,62,1,"black",1
"16",50,1,1,0,0,20,0,"black",1
"17",0,1,1,0,0,51,1,"black",1
"18",0,1,0,1,0,41,1,"white",0
"19",0,1,0,0,1,41,0,"hispanic",0
"20",0,1,1,0,0,39,0,"black",1
"21",50,1,0,1,0,68,1,"white",1
"22",100,1,1,0,0,72,0,"black",1
"23",50,0,0,1,0,37,0,"white",0
"24",34,0,1,0,0,17,1,"black",1
"25",50,0,0,1,0,51,1,"white",0
"26",49,1,1,0,0,56,1,"black",1
"27",75,0,1,0,0,26,0,"black",1
"28",40,0,1,0,0,69,1,"black",1
"29",50,0,1,0,0,68,0,"black",1
"30",50,1,1,0,0,55,0,"black",1
"31",13,1,1,0,0,34,1,"black",1
"32",50,1,0,0,1,37,1,"hispanic",1
"33",46,1,1,0,0,40,1,"black",1
"34",23,1,1,0,0,30,1,"black",1
"35",50,0,1,0,0,70,0,"black",1
"36",50,0,1,0,0,53,1,"black",1
"37",50,0,1,0,0,44,1,"black",1
"38",50,1,1,0,0,36,1,"black",1
"39",50,1,1,0,0,61,1,"black",1
"40",59,1,1,0,0,68,0,"black",1
"41",50,0,1,0,0,31,1,"black",0
"42",50,1,1,0,0,52,1,"black",1
"43",100,0,1,0,0,46,1,"black",0
"44",100,0,1,0,0,37,1,"black",1
"45",100,0,1,0,0,66,1,"black",0
"46",16,1,0,1,0,35,1,"white",0
"47",50,1,0,0,1,76,0,"hispanic",0
"48",50,1,0,0,1,26,1,"hispanic",0
"49",100,1,1,0,0,21,1,"black",1
"50",100,1,1,0,0,24,0,"black",1
"51",89,1,1,0,0,69,1,"black",1
"52",50,0,0,1,0,79,0,"white",0
"53",50,1,1,0,0,58,0,"black",1
"54",50,0,1,0,0,31,0,"black",0
"55",50,1,1,0,0,27,1,"black",1
"56",92,1,1,0,0,46,0,"black",1
"57",8,0,0,0,1,51,1,"hispanic",1
"58",50,0,0,0,1,83,1,"hispanic",0
"59",0,1,0,1,0,53,1,"white",0
"60",100,0,0,0,1,48,0,"hispanic",0
"61",79,0,0,0,1,30,1,"hispanic",0
"62",0,1,0,1,0,19,1,"white",0
"63",36,1,0,0,1,66,1,"hispanic",1
"64",50,0,0,0,1,54,1,"hispanic",0
"65",100,1,1,0,0,35,1,"black",0
"66",64,0,1,0,0,64,1,"black",1
"67",20,0,0,1,0,57,1,"white",1
"68",50,0,1,0,0,31,0,"black",1
"69",50,1,1,0,0,70,0,"black",1
"70",50,0,1,0,0,39,1,"black",1
"71",50,0,0,0,1,61,0,"hispanic",0
"72",50,0,1,0,0,46,1,"black",1
"73",50,1,1,0,0,57,1,"black",1
"74",50,1,0,0,1,82,1,"hispanic",1
"75",50,0,1,0,0,72,1,"black",1
"76",50,0,1,0,0,75,0,"black",1
"77",50,1,1,0,0,73,1,"black",1
"78",50,1,0,0,1,48,1,"hispanic",1
"79",50,1,1,0,0,50,1,"black",1
"80",50,0,1,0,0,58,1,"black",1
"81",50,0,0,0,1,21,1,"hispanic",0
"82",0,1,0,1,0,23,1,"white",0
"83",0,1,0,1,0,40,1,"white",0
"84",0,1,0,1,0,68,1,"white",0
"85",50,1,1,0,0,22,1,"black",1
"86",90,1,1,0,0,63,1,"black",0
"87",34,0,1,0,0,19,1,"black",1
"88",100,0,0,0,1,45,1,"hispanic",0
"89",86,1,1,0,0,28,1,"black",0
"90",77,1,0,0,1,25,0,"hispanic",0
"91",19,1,0,0,1,26,1,"hispanic",0
"92",50,0,1,0,0,58,1,"black",1
"93",50,0,1,0,0,22,0,"black",0
"94",50,0,1,0,0,18,1,"black",1
"95",50,0,0,0,1,31,0,"hispanic",0
"96",50,0,0,0,1,17,0,"hispanic",0
"97",40,0,0,0,1,40,0,"hispanic",1
"98",17,0,0,0,1,88,1,"hispanic",1
"99",33,0,0,0,1,53,1,"hispanic",0
"100",30,0,0,0,1,23,0,"hispanic",0
"101",0,1,0,1,0,58,1,"white",1
"102",0,1,0,0,1,34,1,"hispanic",1
"103",50,0,1,0,0,25,1,"black",1
"104",0,1,1,0,0,23,1,"black",1
"105",30,0,1,0,0,40,1,"black",1
"106",50,0,1,0,0,41,1,"black",1
"107",61,0,1,0,0,29,0,"black",0
"108",50,0,1,0,0,19,1,"black",0
"109",100,0,0,0,1,31,1,"hispanic",0
"110",90,1,0,0,1,22,1,"hispanic",0
"111",60,1,0,0,1,57,1,"hispanic",0
"112",80,1,0,0,1,58,0,"hispanic",0
"113",56,1,0,1,0,58,1,"white",0
"114",50,1,0,1,0,57,0,"white",0
"115",48,1,1,0,0,31,1,"black",1
"116",47,0,0,0,1,56,1,"hispanic",0
"117",34,1,1,0,0,65,0,"black",1
"118",21,1,1,0,0,45,0,"black",0
"119",59,1,1,0,0,65,1,"black",0
"120",32,1,0,1,0,55,1,"white",1
"121",31,1,1,0,0,22,1,"black",1
"122",37,1,1,0,0,74,0,"black",1
"123",100,1,1,0,0,33,1,"black",0
"124",100,1,1,0,0,17,1,"black",1
"125",50,1,1,0,0,48,1,"black",0
"126",100,1,1,0,0,81,1,"black",1
"127",5,1,1,0,0,46,1,"black",0
"128",50,0,1,0,0,42,0,"black",1
"129",50,0,0,0,1,19,0,"hispanic",0
"130",37,1,1,0,0,66,1,"black",1
"131",100,0,0,1,0,49,0,"white",0
"132",34,1,0,1,0,53,0,"white",0
"133",0,0,1,0,0,51,1,"black",0
"134",59,0,1,0,0,23,0,"black",1
"135",59,0,1,0,0,48,1,"black",1
"136",50,0,1,0,0,76,0,"black",1
"137",96,0,0,1,0,85,1,"white",0
"138",40,0,0,0,1,24,0,"hispanic",1
"139",50,0,1,0,0,54,0,"black",1
"140",50,0,1,0,0,81,1,"black",0
"141",52,0,1,0,0,62,1,"black",1
"142",50,1,0,1,0,42,0,"white",0
"143",50,1,0,0,1,43,1,"hispanic",0
"144",73,1,0,0,1,84,0,"hispanic",0
"145",100,0,1,0,0,57,1,"black",1
"146",50,1,0,1,0,57,1,"white",0
"147",0,1,1,0,0,41,1,"black",0
"148",0,1,1,0,0,19,1,"black",0
"149",95,0,1,0,0,31,0,"black",1
"150",49,1,0,0,1,38,1,"hispanic",0
"151",50,1,1,0,0,63,1,"black",1
"152",50,1,1,0,0,23,0,"black",1
"153",60,1,1,0,0,69,1,"black",1
"154",50,1,1,0,0,47,1,"black",1
"155",50,0,0,0,1,20,1,"hispanic",1
"156",100,1,1,0,0,46,1,"black",0
"157",50,0,1,0,0,55,1,"black",1
"158",100,1,0,0,1,41,1,"hispanic",1
"159",100,0,1,0,0,27,0,"black",0
"160",50,0,1,0,0,24,1,"black",1
"161",50,0,1,0,0,47,1,"black",1
"162",19,0,0,0,1,70,0,"hispanic",1
"163",50,1,0,1,0,57,1,"white",0
"164",50,1,1,0,0,58,1,"black",1
"165",100,1,1,0,0,45,1,"black",1
"166",98,1,1,0,0,58,0,"black",1
"167",98,1,0,1,0,41,1,"white",0
"168",100,1,0,1,0,36,0,"white",0
"169",2,1,1,0,0,42,1,"black",1
"170",31,1,1,0,0,61,1,"black",1
"171",100,0,1,0,0,34,1,"black",1
"172",25,0,1,0,0,22,0,"black",1
"173",100,1,1,0,0,43,0,"black",0
"174",50,1,1,0,0,55,1,"black",1
"175",50,0,1,0,0,61,1,"black",1
"176",0,0,0,1,0,69,0,"white",1
"177",100,0,1,0,0,49,1,"black",1
"178",50,1,1,0,0,31,1,"black",1
"179",15,0,1,0,0,50,1,"black",1
"180",50,1,1,0,0,18,0,"black",1
"181",51,0,0,0,1,43,0,"hispanic",0
"182",50,1,1,0,0,36,1,"black",1
"183",50,0,0,1,0,50,1,"white",1
"184",0,0,0,0,1,49,1,"hispanic",1
"185",0,0,1,0,0,44,1,"black",1
"186",1,0,1,0,0,34,1,"black",1
"187",50,1,1,0,0,53,1,"black",1
"188",50,0,0,1,0,50,0,"white",1
"189",0,1,0,1,0,59,0,"white",0
"190",50,1,0,1,0,56,1,"white",1
"191",29,0,1,0,0,55,0,"black",1
"192",82,0,0,1,0,27,1,"white",1
"193",50,1,1,0,0,38,0,"black",0
"194",50,1,0,0,1,38,1,"hispanic",0
"195",50,1,1,0,0,43,1,"black",1
"196",91,1,1,0,0,44,0,"black",1
"197",25,1,1,0,0,26,1,"black",1
"198",50,1,1,0,0,53,1,"black",1
"199",87,0,1,0,0,55,1,"black",1
"200",100,0,1,0,0,23,0,"black",1
"201",50,1,1,0,0,25,1,"black",1
"202",50,1,1,0,0,40,1,"black",1
"203",50,1,1,0,0,26,1,"black",1
"204",50,0,1,0,0,58,1,"black",1
"205",50,0,1,0,0,37,1,"black",1
"206",51,1,1,0,0,19,1,"black",1
"207",100,1,1,0,0,77,1,"black",1
"208",50,1,1,0,0,62,0,"black",1
"209",50,0,1,0,0,75,1,"black",1
