"case_no","patents"
"3:14-cv-00502","8155979"
"2:10-cv-00106","8365328|RE48480"
"4:11-cv-00030","7267545|7909603|7704072|7416408|8033824"
"6:21-cv-00860","6807287"
"2019-1659","10106548"
"3:11-cv-03821","7069546"
"1:19-cv-01458","7373515"
"8:11-cv-01181","5991885"
"1:14-cv-00899","10220537|8888953"
"2:14-cv-01130","6690400"
"2:10-cv-03547","5412730"
"1:13-cv-00836","6460851"
"6:13-cv-00652","6523061|6742021"
"1:15-cv-00542","6311189|6173287|6243708"
"1:19-cv-00913","6611247"
"337-TA-3698","8831780"
"3:14-cv-02367","8058398"
"2:15-cv-08978","7563131"
"2:10-cv-10647","7350393"
"2:22-cv-00151","9351529"
"2:15-cv-06392","7613649|8606688|8301551|8010441|8041629|8156038|8306905"
"2:12-cv-00111","7231379"
"2014-1742","8286070|6789228|7689898"
"1:10-cv-00210","4686655|4944036|5053983|5410621|3958210"
"2:13-cv-00656","6662163|7885419|8255219|7609669|8914290|10909490"
"1:14-cv-01143","9484078|9484077"
"6:20-cv-00803","6112965|D415096|7506786"
"3:11-cv-00420","6317060|6415207"
"24-1209","7428707"
"2:21-cv-12841","5948437"
"6:14-cv-00525","7723116|9365822|7208265|9145590"
"1:13-cv-01620","106109"
"2017-2190","6311278|8676955|7472413"
"1:11-cv-00031","8565894"
"6:22-cv-01056","10729108|10251374"
"1:20-cv-00352","7648276"
"0:12-cv-01984","6791898"
"2:12-cv-00038","6531400|7199432"
"3:13-cv-00609","5995102|6118449|6072489"
"1:15-cv-01105","6199048|8131597"
"1:10-cv-01101","6174075"
"1:22-cv-00173","D593708"
"3:12-cv-01581","6661783"
"1:11-cv-00989","D525731|D526429|D426905"
"1:21-cv-11018","7255878|9023391"
"2:18-cv-00105","8510076"
"6:22-cv-00722","7010536|7702682"
"337-TA-937","6999956|7043481|7167862|7149730|7103600|5857197|6985912"
"1:16-cv-11131","7304563"
"1:18-cv-00809","9219978|9781558"
"3:12-cv-00296","7417042|7737112|8207297"
"2:19-cv-11347",""
"1:17-cv-00331","8083152|7661600|7207494"
"2014-1397","5579222"
"1:15-cv-02588","5818836"
"5:20-cv-00891","8146077|6384850|6871325"
"6:17-cv-00170","6415207|7400970|6763299|6904359"
"3:22-cv-04732","6292164"
"2018-2086","8971861|8768865|9024418"
"1:12-cv-01790","7890366|5987434|6999938"
"3:13-cv-00650","RE44652"
"1:21-cv-01000","9261365"
"2:16-cv-06262","8352317|7860744|8738435|6999938|8234184"
"1:11-cv-09525","8265545|7962090|6757913"
"2016-1784","7805542"
"1:22-cv-22406","9432638"
"2016-2461","6289434"
"2:18-cv-00548","7574432|7188100"
"3:17-cv-01744","6574239|8291010|8266296"
"3:10-cv-02552","5544360"
"1:22-cv-00935","7389198"
"2:12-cv-07234","6212662|5930250"
"3:16-cv-07331","5491774|5742737"
"6:21-cv-00351","7598343|7582727"
"3:14-cv-03641","9916782|9978294|10223946|9947248|8870410|9047791|8870413|9642272|9734738|9207904|10248372|9666105"
"3:20-cv-06174","5717869|5717879"
"6:18-cv-00116","7963446|8763907|8733657"
"3:16-cv-01886","7162735"
"2:15-cv-00823","7729863"
"3:10-cv-01850","7162696"
"2014-1475","8032907|6314577|7574721"
"2:18-cv-00450","11651088"
"1:14-cv-00906","7896318"
"2021-2361","6202150"
"1:14-cv-05202","10378193|9828754|D855447"
"6:10-cv-00471","8862508"
"2:11-cv-00132","5625465|5369508|6094505|5768416|5258855"
"1:21-cv-01704","D635276|D557427|D625023"
"23-2026","7495566"
"2:13-cv-01025","8424752"
"3:13-cv-02306","5038851|4881686|4200910|D317875|5012973|4071745|D317267|4911358|4771392|4967382"
"1:13-cv-00635","7162532|8127037|9059809"
"20-1140",""
"2:16-cv-01248","5661151"
"1:20-cv-00294","8602784"
"2:11-cv-00361","9050302"
"2010-0491","9188984|6302230"
"0:10-cv-02132","9654617|10477011|9332385|10728382"
"23-1199","D893979|10272934|D881673"
"1:19-cv-01472","6660272|7122192|6368601"
"5:15-cv-00130","6415280|7945544|7949662|5978791|6928442|7945539|7802310|8001096"
"1:13-cv-01391","4808404|8794185|5404922|4316464|10155034|6908620|6910446"
"2:18-cv-03353","6642829"
"1:22-cv-01321","5884282"
"3:14-cv-00362","10561659"
"0:22-cv-60442","7324689|6972774"
"1:15-cv-01078","11403932"
"2:23-cv-00223","8846628|11571436"
"1:16-cv-00323","9396631"
"1:11-cv-01114","10600101"
"1:12-cv-09002","7716629|6826744"
"2:15-cv-01784","6754400"
"1:21-cv-01035","6529469|7116629|6426927"
"1:16-cv-00176","10474705|9323786"
"3:11-cv-04969","7399489|7521423|6902744"
"1:17-cv-01514","7346950"
"1:14-cv-00199","6374229"
"23-2148",""
"23-1803","8783458|8746449"
"2021-1572",""
"2:16-cv-01371","7706819|8055285|9390435"
"1:13-cv-00381","7682044|7784968"
"2:19-cv-00137",""
"20-2257","D519662|6981679|D566885|D495079|D563588"
"1:16-cv-00082","8309060"
"5:15-cv-02751","8856221"
"6:14-cv-00439","D604188"
"3:21-cv-00733","9731531"
"8:12-cv-01872","8134917|6845389|6901048|6128649|7154879|8464299"
"1:14-cv-00570","7566537"
"2:13-cv-01046","8225408"
"6:20-cv-00251","7827581|9344183"
"2:14-cv-00355","8067451|8067033|8449910|8309127|8318202|8501228"
"2:23-cv-00296","7906048"
"2021-2243","7590602"
"3:13-cv-01317","7683509|7067944|7067952|7928348|7154200|7036207"
"2:15-cv-00664","6272533"
"1:18-cv-05640","D659180"
"1:22-cv-00219","8771152"
"1:11-cv-01044","7054830"
"6:21-cv-00945","8571194|7853000"
"1:22-cv-00262","5391949|5001367|5030853|5247212"
"2019-2401","7702682"
"1:15-cv-02525","6918532"
"1:12-cv-03222","10120961|10109105"
"2018-1859","8221871|7935411|8343614|7935410|8327601"
"3:20-cv-05607","7834605"
"1:23-cv-01169","6972790|8537242"
"1:19-cv-02740","7942471"
"2020-1546","7398005|6487528"
"9:12-cv-00078","5952918"
"1:17-cv-03984","5136377|5227878|4958226|5500678"
"2:21-cv-00283","6233592"
"2:18-cv-01026","8783458|8746449"
"2013-1495","5933364|6834336"
"1:14-cv-00232","6817671"
"1:19-cv-02315","9984703"
"2016-2007","8239481"
"1:14-cv-00209","20150381362"
"5:23-cv-00134","7529806"
"1:15-cv-04348","9408471"
"1:19-cv-00430","5642379|5506866|5475691"
"1:19-cv-12324","6409599"
"2:15-cv-02079","6063050|6468286|6682544"
"23-1464","7573851|7146172|7072315|6904283"
"2:14-cv-00409","9534365"
"2:15-cv-00331","11381866|10135682|9210362|8792008|9825826|8284690|9866438|11785275|11399206|8223775"
"7:16-cv-07819","10124924"
"2:10-cv-00346","6042998"
"2:15-cv-01009","8041017"
"3:10-cv-00048","6918082"
"6:10-cv-00141","5909492|5715314"
"1:13-cv-10765",""
"6:20-cv-00758","8586610"
"3:20-cv-00963","10545899|9645962|11681643|11176072|9460037|9619420"
"1:12-cv-00016","7681124"
"1:19-cv-04069","5969156"
"3:16-cv-09035","10343142"
"6:15-cv-01178","D632053|D622477|D606285|D616627|D665558|D632052|D632051|D623377|8568195|D666384"
"2:12-cv-00333","8339049"
"1:18-cv-01461","6397143"
"2:23-cv-00522","D521850"
"3:14-cv-01921","7320999|6509376|8399514"
"2:15-cv-02780","7818349"
"1:20-cv-01539","5845070"
"3:15-cv-00206","8569325|8404703"
"2:14-cv-01059",""
"1:22-cv-00362","11104236|11235673|11124077"
"2:19-cv-06874","7400970"
"2020-2177","6389473"
"2019-2176","9333073|8894702|8911455|8795356|9339379|8414644|9339377"
"1:17-cv-06109","9551509|9742347|9985574"
"1:12-cv-01768","RE40281"
"24-1029","5809338|5940591|5243596|6256684|5150410|6243838|5832228"
"2:15-cv-00233","5733599|6375822"
"6:12-cv-00707","6836654"
"6:20-cv-00951","6146997"
"2:16-cv-00915","9696868|8881048|9304654"
"6:22-cv-00786","6272533"
"3:10-cv-02618","7516770"
"2:13-cv-04529","7967822"
"1:14-cv-10500","8497420|8889979|8889980|8895843|7767254"
"3:19-cv-00225","7598035|7232656|6306597"
"17-1616","7838558|7737181|7579377|7834060|7868044"
"2017-2499","6558264"
"1:19-cv-01046","7250543|7291321"
"6:19-cv-00352","7782607"
"3:15-cv-00329","5508731"
"2:14-cv-00508","6179053"
"1:16-cv-02475","9399012|9610265"
"3:15-cv-05273","7183835"
"2017-1376","6947748|7454212"
"2016-2734","6442602"
"6:13-cv-00040","9321530|9016617|9284049|D691514"
"2013-1598","9399012"
"9:10-cv-81106","D635855"
"3:18-cv-00817","6276211|6530888"
"6:19-cv-00545","7480637"
"2:15-cv-04781","9395917|9645663"
"3:11-cv-00289",""
"3:16-cv-08282","8707611"
"1:13-cv-00794","7293385"
"1:18-cv-01820","9890535|9487955"
"2:16-cv-12995","6665722"
"1:23-cv-03226","8982086|7199821|7203517"
"1:20-cv-00154",""
"2:17-cv-02423","7796969|7123898|7860499|7910993|7460852"
"3:14-cv-00927","7967465|8089370|8077052|7336157|7429827|7196477|8104914"
"337-TA-1232","6938104|8725924"
"1:19-cv-00465","8642600|8017615|7053092|8642760|8580796"
