"imdb.uid","Country","Title","Type","imdb.rating","runtime","Year","Letterboxd.Rating","Letterboxd.Votes"
"tt6675244","#N/A","Transit","movie",7,101,2018,"3.78","9232"
"tt0262240","USA","As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty","movie",8.5,288,2000,"4.48","2577"
"tt0147800","USA","10 Things I Hate About You","movie",7.3,97,1999,"3.77","94474"
"tt0091763","USA","Platoon","movie",8.1,120,1986,"3.85","41460"
"tt1596363","USA","The Big Short","movie",7.8,130,2015,"3.74","129263"
"tt0049833","USA","the ten commandments","movie",7.8,220,1956,"3.68","7767"
"tt10374360","China","Yi zhi you dao hai shui bian lan","movie",NA,NA,2020,"3.27","59"
"tt0062374","USA","Titicut Follies","movie",7.7,84,1967,"3.95","2590"
"tt0114651","#N/A","Terra Estrangeira","movie",7.4,110,1995,"3.85","591"
"tt0156587","Taiwan","Hai shang hua","movie",7.4,130,1998,"3.94","1314"
"tt0064451","Hong Kong","Xia nü","movie",7.6,200,1971,"4.04","3458"
"tt0081176","France","Mon oncle d'Amérique","movie",7.8,125,1980,"3.84","1186"
"tt0093267","Italy","Intervista","movie",7,105,1987,"3.4","392"
"tt0029740","Russian Federation","the return of maxim","movie",6.5,105,1937,NA,NA
"tt0221322","Philippines","Kisapmata","movie",7.7,90,1981,"4.13","119"
"tt0056327","Japan","Kawaita hana","movie",7.8,96,1964,"3.95","2401"
"tt0458481","USA","Sin City: A Dame to Kill For","movie",6.5,102,2014,"2.77","29139"
"tt1278469","USA","Temple Grandin","tvMovie",8.3,107,2010,"3.76","3072"
"tt0026872","USA","Pluto's Judgement Day","short",7.3,7,1935,"3.52","309"
"tt0058642","Ukraine","Tini zabutykh predkiv","movie",8,97,1964,"3.97","2147"
"tt0082933","Germany","Possession","movie",7.4,124,1981,"4.1","22697"
"tt6920356","UK","The Souvenir","movie",6.5,120,2019,"3.46","14755"
"tt0373889","UK","Harry Potter and the Order of the Phoenix","movie",7.5,138,2007,"3.6","140055"
"tt0054599","Italy","Accattone","movie",7.8,117,1961,"3.86","2740"
"tt0051525","USA","The Defiant Ones","movie",7.6,96,1958,"3.71","2545"
"tt0021884","USA","frankenstein","movie",7.8,70,1931,"3.86","25174"
"tt0308363","Mauritania","Heremakono","movie",6.7,90,2002,"3.51","346"
"tt0363163","Austria","Der Untergang","movie",8.2,156,2004,"3.94","25280"
"tt0070047","USA","the exorcist","movie",8,122,1973,"4.02","91877"
"tt0083866","USA","E.T. the Extra-Terrestrial","movie",7.8,115,1982,"3.89","129285"
"tt2543164","USA","Arrival","movie",7.9,116,2016,"4.09","272950"
"tt0101649","India","thalapathi","movie",8.5,157,1991,"3.91","350"
"tt0118845","Hong Kong","Chun gwong cha sit","movie",7.8,96,1997,"4.14","26576"
"tt0025746","USA","The Scarlet Empress","movie",7.6,104,1934,"3.92","2364"
"tt0116384","Iran","Gabbeh","movie",6.9,75,1996,"3.63","848"
"tt0306414","#N/A","The Wire","tvSeries",9.3,3540,2002,"#N/A","#N/A"
"tt0068762","USA","jeremiah johnson","movie",7.6,108,1972,"3.68","4429"
"tt6793864","#N/A","Art of Style","tvSeries",8.4,NA,2016,"4.16","223"
"tt0022913","USA","Freaks","movie",7.9,64,1932,"3.88","16108"
"tt0066763","India","anand","movie",8.8,122,1971,"3.95","580"
"tt1023490","#N/A","Il divo - La spettacolare vita di Giulio Andreotti","movie",7.3,110,2008,"3.67","3670"
"tt0093488","Canada","L'homme qui plantait des arbres","short",8.5,30,1987,"4.12","1829"
"tt1371111","Germany","Cloud Atlas","movie",7.4,172,2012,"3.4","54157"
"tt0037865","#N/A","Leave Her to Heaven","movie",7.6,110,1945,"3.89","3754"
"tt0072890","USA","dog day afternoon","movie",8,125,1975,"4.17","41882"
"tt0211942","USA","Belfast, Maine","movie",8.5,245,1999,"4.02","190"
"tt0047522","USA","A Star Is Born","movie",7.6,154,1954,"3.87","6266"
"tt0117951","UK","Trainspotting","movie",8.1,93,1996,"4.08","119852"
"tt0210075","USA","Girlfight","movie",6.7,110,2000,"3.28","1543"
"tt1675434","France","Intouchables","movie",8.5,112,2011,"4.02","70922"
"tt0066356","UK","7 Plus Seven","tvMovie",8,52,1970,"3.82","1499"
"tt1742683","USA","Too Big to Fail","tvMovie",7.3,99,2011,"3.31","1349"
"tt0424062","Philippines","Evolution of a Filipino Family","movie",7.9,540,2004,"4.15","386"
"tt0166486","Egypt","Arak el-balah","movie",7.9,110,1998,"4.14","156"
"tt0059592","France","Pierrot le Fou","movie",7.6,110,1965,"4","16455"
"tt0095497","USA","The Last Temptation of Christ","movie",7.6,164,1988,"3.83","15675"
"tt0498846","Israel","Adama Meshuga'at","movie",7.2,90,2006,"3.42","48"
"tt4285496","Argentina","El abrazo de la serpiente","movie",7.9,125,2015,"4.06","10745"
"tt0061465","USA","Chelsea Girls","movie",6,210,1966,"3.34","670"
"tt0088258","USA","This Is Spinal Tap","movie",7.9,82,1984,"3.95","37208"
"tt7178226","#N/A","The Cave","movie",8.2,107,2019,"3.66","769"
"tt0072685","Chile","La batalla de Chile: La lucha de un pueblo sin armas - Primera parte: La insurrección de la burguesía","movie",8.3,97,1975,"4.18","823"
"tt0063678","Italy","Teorema","movie",7.2,98,1968,"3.8","4998"
"tt0459516","#N/A","Pudhu Pettai","movie",8.4,168,2006,"4.02","260"
"tt0245712","Mexico","amores perros","movie",8.1,115,2000,"3.98","24658"
"tt0083946","Germany","Fitzcarraldo","movie",8.1,158,1982,"4.08","12532"
"tt2121382","Denmark","Turist","movie",7.3,120,2014,"3.79","24164"
"tt0033729","USA","How Green Was My Valley","movie",7.7,118,1941,"3.85","5401"
"tt8055182","Japan","Kimitachi wa dô ikiru ka","movie",NA,NA,NA,"#N/A","#N/A"
"tt0083658","USA","Blade Runner","movie",8.1,117,1982,"4.13","191885"
"tt8219328","UK","Hamlet","tvMovie",8.6,191,2018,"4.09","132"
"tt1229360","USA","It Might Get Loud","movie",7.6,98,2008,"3.55","2860"
"tt0112682","Germany","the city of lost children","movie",7.6,112,1995,"3.72","9325"
"tt0040525","USA","The lady from shanghai","movie",7.7,92,1947,"3.81","9710"
"tt0061132","Italy","the hawks and the sparrows","movie",7.5,89,1966,"3.61","1444"
"tt6628102","Bosnia and Herzegovina","The wild pear tree","movie",8.1,188,2018,"3.86","5647"
"tt0094336","UK","Withnail & I","movie",7.7,107,1987,"3.92","11722"
"tt0070809","Bangladesh","A river called titas","movie",7.5,159,1973,"3.61","390"
"tt0112573","USA","Braveheart","movie",8.3,178,1995,"3.78","65399"
"tt5168192","Belgium","I, Daniel Blake","movie",7.9,100,2016,"3.88","20154"
"tt0070904","#N/A","Welt am Draht","tvMiniSeries",7.8,212,1973,"#N/A","#N/A"
"tt0108052","USA","schindler's list","movie",8.9,195,1993,"4.4","124850"
"tt4515928","Canada","Gavagai","movie",7,90,2016,"3.08","55"
"tt0048980","France","Le ballon rouge","short",8.2,34,1956,"4.02","8938"
"tt0057427","France","The Trial","movie",7.8,119,1962,"3.94","6802"
"tt0107337","Syrian Arab Republic","Al-kompars","movie",7,100,1993,"4.09","134"
"tt5696188","Canada","How to Build a Time Machine","movie",7.6,82,2016,"4.02","388"
"tt0079944","Estonia","Stalker","movie",8.2,162,1979,"4.4","39489"
"tt6062774","Argentina","Monos","movie",7.4,102,2019,"3.73","10049"
"tt11644096","USA","What Did Jack Do?","short",6.6,17,2017,"3.49","20552"
"tt0053579","Japan","Akibiyori","movie",8.1,128,1960,"4.11","2379"
"tt0111786","China","Yang guang can lan de ri zi","movie",8.2,134,1994,"4.08","597"
"tt0168629","Argentina","Dancer in the Dark","movie",8,140,2000,"4.05","26332"
"tt0061162","#N/A","Voyna i mir II: Natasha Rostova","movie",8.1,98,1966,"3.84","217"
"tt0058578","UK","Seven Up!","tvShort",8,40,1964,"3.83","1894"
"tt1024648","USA","argo","movie",7.7,120,2012,"3.65","99207"
"tt0059488","France","The Koumiko Mystery","movie",8.4,46,1965,"3.69","348"
"tt8946378","USA","Knives Out","movie",7.9,130,2019,"4.03","511722"
"tt5598102","France","Visages villages","movie",7.9,94,2017,"4.07","15486"
"tt0808417","France","Persepolis","movie",8,96,2007,"4.03","26581"
"tt0096283","Japan","My Neighbor Totoro","movie",8.3,86,1988,"4.2","96470"
"tt0056049","Japan","Hadaka no shima","movie",8.2,96,1960,"4.1","1972"
"tt0266697","USA","Kill Bill: Vol. 1","movie",8.1,111,2003,"4.12","236842"
"tt0028420","Russian Federation","Tsirk","movie",6.8,90,1936,"3.16","211"
"tt0018455","USA","Sunrise: A Song of Two Humans","movie",8.1,94,1927,"4.22","14701"
"tt1049413","USA","Up","movie",8.2,96,2009,"4.05","205249"
"tt2140203","Japan","Ookami kodomo no Ame to Yuki","movie",8.1,117,2012,"4.02","19720"
"tt1316540","Hungary","A torinói ló","movie",7.8,155,2011,"4.08","7852"
"tt0112641","France","Casino","movie",8.2,178,1995,"4.04","62976"
"tt0395543","USA","Forty Shades of Blue","movie",6.2,108,2005,"3.15","168"
"tt0055018","UK","The Innocents","movie",7.8,100,1961,"4.04","10782"
"tt3409392","France","Timbuktu","movie",7.1,96,2014,"3.66","6148"
"tt0060955","USA","Seconds","movie",7.7,106,1966,"4.02","8091"
"tt0088009","Germany","Rok spokojnego slonca","movie",7.1,110,1984,"3.58","253"
"tt0059670","Poland","Salto","movie",7.3,104,1965,"3.66","187"
"tt0097223","Bosnia and Herzegovina","Dom za vesanje","movie",8.3,142,1988,"4.07","2600"
"tt0103064","USA","Terminator 2: Judgment Day","movie",8.5,137,1991,"4.21","117671"
"tt1800241","USA","American Hustle","movie",7.2,138,2013,"3.28","106281"
"tt0097757","USA","The Little Mermaid","movie",7.6,83,1989,"3.69","72654"
"tt5109784","USA","Mother!","movie",6.6,121,2017,"3.47","128315"
"tt0020451","#N/A","Staroye i novoye","movie",7.2,121,1929,"3.65","476"
"tt0432283","USA","Fantastic Mr. Fox","movie",7.8,87,2009,"4.07","122258"
"tt0243218","Iran","Beed-o baad","movie",7.4,81,1999,"4.05","210"
"tt0054248","Italy","rocco and his brothers","movie",8.3,177,1960,"4.19","4818"
"tt0111495","France","Trois couleurs: Rouge","movie",8.1,99,1994,"4.22","22539"
"tt1527186","Denmark","Melancholia","movie",7.1,135,2011,"3.74","53619"
"tt0117214","Iran","Nun va Goldoon","movie",7.9,78,1996,"4.16","2821"
"tt0047469","Italy","Senso","movie",7.5,123,1954,"3.72","2146"
"tt0027752","Japan","Hitori musuko","movie",7.8,87,1936,"3.94","1953"
"tt0073707","India","Sholay ","movie",8.2,198,1975,"3.72","1735"
"tt8075260","USA","Someone Great","movie",6.2,92,2019,"3.13","19779"
"tt0114369","USA","Se7en","movie",8.6,127,1995,"4.26","212600"
"tt0114388","UK","Sense and Sensibility","movie",7.6,136,1995,"3.79","15068"
"tt0076085","Italy","A special day","movie",8.1,106,1977,"4.17","3510"
"tt0082089","USA","Body Heat","movie",7.4,113,1981,"3.66","6540"
"tt0338564","Hong Kong","Mou gaan dou","movie",8,101,2002,"3.89","14397"
"tt1270262","Netherlands","The Devil's Double","movie",7.1,109,2011,"3.11","3539"
"tt0237376","India","Kireedam","movie",8.9,124,1989,"4.04","146"
"tt0386588","USA","Hitch","movie",6.6,118,2005,"2.86","47676"
"tt2024544","USA","12 Years a Slave","movie",8.1,134,2013,"4.06","124993"
"tt0054189","France","Purple Noon","movie",7.8,118,1960,"3.88","4951"
"tt0947798","USA","black swan","movie",8,108,2010,"4","186528"
"tt0039689","USA","Out of the Past","movie",8,97,1947,"4.09","10642"
"tt0065724","USA","Five Easy Pieces","movie",7.5,98,1970,"3.87","10897"
"tt0054745","France","Chronique d'un été (Paris 1960)","movie",7.6,85,1961,"3.87","2281"
"tt0038913","Italy","Shoeshine","movie",8,90,1946,"3.98","1979"
"tt0048021","France","rififi","movie",8.2,118,1955,"4.19","9738"
"tt0071450","USA","Dyketactics","short",5.7,4,1974,"3.35","626"
"tt0097372","USA","For All Mankind","movie",8.2,80,1989,"4.08","4002"
"tt0120879","UK","velvet goldmine","movie",7,118,1998,"3.62","10035"
"tt0053270","USA","Shadows","movie",7.3,81,1958,"3.67","7328"
"tt0071406","Japan","Den-en ni shisu","movie",7.9,104,1974,"4.14","1783"
"tt0423866","#N/A","Bin-jip","movie",8,88,2004,"3.95","9756"
"tt0059653","#N/A","Ride in the Whirlwind","movie",6.5,82,1966,"3.38","1589"
"tt0042477","Italy","Francesco, giullare di Dio","movie",7.4,85,1950,"3.8","1649"
"tt0064272","France","Détruire dit-elle","movie",6.8,94,1969,"3.48","187"
"tt0071842","Switzerland","Le milieu du monde","movie",6.9,115,1974,"3.44","55"
"tt0014497","USA","Souls for Sale","movie",7,90,1923,"3.51","213"
"tt3409392","France","Timbuktu","movie",7.1,96,2014,"3.66","6105"
"tt0053177","Russian Federation","Poema o more","movie",6.3,95,1958,"3.74","108"
