"grant_number","SEP","court_cases"
"9742592",1,0
"105917687",1,0
"258198",0,0
"10637966",1,0
"100579812",1,0
"11240574",1,0
"20180247083",1,0
"2904169",0,0
"108353455",0,0
"20180199247",1,0
"2297907",0,0
"7321538",1,0
"H10173658",0,0
"2019076319",1,0
"9788252",1,0
"E049216",0,0
"2013120739",1,0
"1024309",1,0
"3598448",0,0
"110933711",1,0
"10154408",1,0
"20150264638",0,0
"282795",0,0
"RE48316",1,0
"1997038465",1,0
"7774854",0,2
"7514624",0,0
"2572093",0,0
"20140020025",0,0
"2015138418",1,0
"7484146",0,0
"11229016",0,0
"113365337",0,0
"2012016883",1,0
"1798318",0,0
"109075830",0,0
"0388889",1,0
"E523005",1,0
"8643935",1,0
"2917904",1,0
"1357685",1,0
"9826026",0,0
"5818936",1,0
"20120330966",1,0
"6141666",1,0
"209630",0,0
"2934743",1,0
"2017514116",1,0
"102433714",1,0
"20170289588",0,0
"2004075476",0,0
"3898018",1,0
"20210192015",1,0
"10567966",1,0
"1152650",0,0
"10735454",0,0
"20130229310",1,0
"2017200478",1,0
"1582106",1,0
"2742683",0,0
"68921173",1,0
"2020133281",1,0
"101998159",1,0
"20160030381",0,0
"4520148",0,0
"5728086",0,0
"2003208586",0,0
"11055389",1,0
"3629492",1,0
"2014177165",0,0
"2009145291",1,0
"20100132033",0,0
"20160182648",0,0
"9747788",1,0
"20100231363",1,0
"2014162895",0,0
"8572093",0,0
"2002016667",1,0
"2001063316",1,0
"2017069651",1,0
"8892261",1,0
"2513772",0,0
"4073395",1,0
"6340476",1,0
"201100619",1,0
"101642404",1,0
"102075744",0,0
"1495580",1,0
"20040092919",1,0
"8566945",1,0
"5754775",1,0
"9009454",1,0
"20020196186",0,0
"113596892",0,0
"10271049",1,0
"2018137767",1,0
"1487391",1,0
"4098069",1,0
"2001043349",0,0
"101258734",0,0
"1883151",0,0
"20200082837",1,0
"2009033141",0,0
"102009042988",1,0
"20110181370",1,0
"2019213372",1,0
"107689966",1,0
"1997017797",0,0
"20160286386",0,0
"2510402",1,0
"102273146",1,0
"202029770",1,0
"102474300",1,0
"2008099276",1,0
"2194458",1,0
"100474797",0,0
"20170289238",0,0
"11003185",0,0
"I344782",1,0
"7646814",0,0
"112006000314",0,0
"7936762",1,0
"20230276429",0,0
"8250381",1,0
"H10503916",0,0
"2601045",1,0
"8311001",1,0
"2014180260",0,0
"8036636",0,0
"116250274",1,0
"20180234147",1,0
"2003107132",1,0
"20040179483",1,0
"732498",0,0
"154074",1,0
"107113039",1,0
"E331343",1,0
"1096500",0,0
"20150133141",0,0
"20180076948",1,0
"502004011158",0,0
"3494699",1,0
"201019774",1,0
"E508544",0,0
"20100091790",0,0
"20140056280",1,0
"10321418",1,0
"5649661",1,0
"2144392",1,0
"2706669",0,0
"7174456",1,0
"2860741",1,0
"2904806",0,0
"110999325",1,0
"20170359187",1,0
"59711218",1,0
"9264956",1,0
"107409124",0,0
"602006003259",0,0
"109313564",0,0
"102019200924",1,0
"200400709",1,0
"201118641",0,0
"4023006",0,0
"2334414",1,0
"20180262366",0,0
"20090279614",1,0
"200908954",1,0
"8563498",0,0
"289614",0,0
"11134428",0,0
"6852163",0,0
"102145303",1,0
"104053010",0,0
"20180128041",0,0
"1460824",1,0
"2001047231",1,0
"7058067",1,0
"2015025309",1,0
"WO2011111751",0,0
"2016218989",0,0
"2802959",0,0
"102067222",1,0
"9419706",1,0
"20090327502",1,0
"20190319950",1,0
"477637",0,0
"20180040488",1,0
"2010525477",0,0
"2009111799",1,0
"3438917",0,0
"99109019",0,0
"9232503",1,0
"20140325609",1,0
"0911990",1,0
"2012519405",0,0
"3999928",0,0
"1634423",1,0
"10762124",0,0
"20150358259",0,0
